name	lat	lon
DAAD	35.3313888888889	4.20444444444444
DAAE	36.7119444444444	5.06944444444444
DAAG	36.6938333333333	3.21455555555556
DAAJ	24.2930555555556	9.45194444444444
DAAP	26.7236111111111	8.61777777777778
DAAS	36.1786111111111	5.33
DAAT	22.8111111111111	5.45083333333333
DAAV	36.7944444444444	5.87361111111111
DABB	36.8222222222222	7.80944444444444
DABC	36.2852777777778	6.61916666666667
DABS	35.4326361111111	8.1256
DABT	35.7591666666667	6.3225
DAOB	35.3413888888889	1.46694444444444
DAOF	27.7	-8.16666666666667
